,numberOfInputEventListener,numberOfLifeCycleEventHandler,numberOfNonLifeCycleEventHandler,numberOfDirectManipulationOfModels,Role
0,0,3,0,1,1
1,0,3,0,0,1
2,0,1,0,0,4
3,0,1,0,0,1
4,0,1,0,3,1
5,0,1,0,1,1
6,0,0,0,0,0
7,0,0,0,0,0
8,0,1,0,0,0
9,0,1,0,0,4
10,0,1,0,0,0
11,0,1,0,0,0
12,0,0,0,0,0
13,0,0,0,0,4
14,0,0,0,0,4
15,0,0,0,0,0
16,0,0,0,0,0
17,0,1,0,0,4
18,0,3,0,0,4
19,0,1,0,0,0
20,0,1,0,0,0
21,0,1,0,0,0
22,0,1,0,0,0
23,0,0,0,0,0
24,0,2,0,0,0
25,0,1,0,0,4
26,0,2,0,0,0
27,0,1,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,1,0,0,0
31,0,3,0,0,4
32,0,0,0,0,4
33,0,1,0,0,0
34,0,3,0,0,0
35,0,2,0,0,0
36,0,2,0,0,4
37,0,1,0,0,0
38,0,1,0,0,0
39,0,1,0,0,0
40,0,1,0,0,0
41,0,1,0,0,0
42,0,1,0,0,0
43,0,0,0,1,4
44,0,0,0,1,4
45,0,0,0,1,4
46,0,1,0,0,4
47,0,1,0,0,0
48,0,3,0,1,0
49,0,2,0,1,0
50,0,3,0,1,0
51,0,3,0,1,0
52,0,2,0,0,0
53,0,2,0,0,4
54,0,3,0,0,0
55,0,0,0,0,4
56,0,4,0,0,4
57,0,3,0,0,4
58,0,1,0,0,0
59,0,1,0,0,0
60,0,1,0,0,0
61,0,1,0,0,0
62,0,2,0,0,0
63,0,1,0,0,0
64,0,1,0,0,4
65,0,3,0,0,0
66,0,1,0,0,0
67,0,3,0,0,0
68,0,2,0,0,4
69,0,3,0,0,4
70,0,3,0,0,4
71,0,5,0,0,0
72,0,0,0,0,4
73,0,0,0,0,4
74,0,0,0,0,4
75,0,0,0,0,4
76,0,0,0,0,4
77,0,3,0,0,4
78,0,2,0,0,0
79,0,2,0,0,0
80,0,2,0,0,0
81,0,1,0,0,4
82,0,1,0,0,0
83,0,3,0,2,1
84,0,6,0,1,4
85,0,4,0,2,0
86,0,3,0,0,0
87,0,4,0,0,0
88,0,3,0,0,4
89,0,2,0,0,4
90,0,3,0,0,4
91,0,3,0,0,4
92,0,1,0,0,4
93,0,4,0,0,0
94,0,2,0,0,0
95,0,3,0,0,0
96,0,1,0,0,4
97,0,1,0,0,4
98,0,2,0,0,4
99,0,3,0,0,4
100,0,1,0,0,4
101,0,1,0,0,0
102,0,1,0,0,0
103,0,1,0,0,0
104,0,1,0,0,4
105,0,1,0,0,4
106,0,2,0,0,4
107,0,1,0,0,4
108,0,0,0,0,4
109,0,0,0,0,4
110,0,0,0,0,4
111,0,4,0,0,4
112,0,4,0,0,4
113,0,1,0,0,4
114,0,0,0,0,4
115,0,0,0,0,4
116,0,0,0,0,4
117,0,0,0,0,4
118,0,0,0,0,4
119,0,0,0,0,4
120,0,3,0,0,0
121,0,3,0,0,0
122,0,3,0,2,4
123,0,3,0,0,0
124,0,1,0,0,0
125,0,3,0,0,0
126,0,3,0,0,0
127,0,1,0,0,0
128,0,3,0,0,0
129,0,3,0,2,0
130,1,3,0,2,0
131,1,3,0,2,0
132,1,3,0,2,0
133,1,3,0,2,0
134,0,3,0,0,0
135,0,3,0,0,0
136,0,3,0,0,0
137,0,3,0,0,0
138,0,3,0,2,0
139,1,3,0,2,0
140,0,3,0,0,0
141,0,0,0,0,4
142,0,0,0,0,4
143,0,0,0,0,4
144,0,0,0,0,4
145,0,0,0,0,4
146,0,0,0,0,4
147,0,0,0,0,4
148,2,0,0,0,4
149,1,1,0,2,4
150,0,0,0,0,4
151,1,0,0,0,4
152,0,0,0,2,0
153,0,0,0,2,0
154,0,0,0,0,4
155,0,1,0,0,0
156,0,2,0,0,4
157,0,2,0,0,4
158,0,1,0,0,4
159,0,1,0,0,4
160,0,2,0,0,4
161,0,1,0,0,4
162,0,1,0,0,4
163,0,0,0,0,4
164,0,0,0,0,4
165,0,1,0,0,4
166,0,0,0,0,4
167,0,0,0,0,4
168,0,0,0,0,4
169,0,0,0,0,4
170,0,0,0,0,4
171,0,0,0,0,4
172,0,0,0,0,4
173,0,0,0,0,4
174,0,0,0,0,4
175,0,0,0,0,4
176,0,0,0,0,4
177,0,0,0,0,4
178,0,0,0,0,4
179,0,0,0,0,4
180,0,0,0,0,4
181,0,0,0,0,4
182,0,0,0,0,4
183,0,0,0,0,4
184,0,0,0,0,4
185,0,1,0,0,4
186,0,2,0,0,4
187,0,2,0,0,4
188,0,2,0,0,4
189,0,0,0,0,4
190,0,0,0,0,4
191,0,0,0,0,4
192,0,4,0,0,4
193,0,4,0,0,4
194,0,4,0,0,4
195,0,1,0,0,4
196,0,2,0,0,4
197,0,5,0,0,4
198,0,2,0,0,4
199,0,1,0,0,4
200,0,3,0,0,4
201,0,2,0,0,4
202,0,1,0,0,4
203,0,0,0,0,4
204,0,3,0,0,4
205,0,1,0,0,4
206,0,3,0,0,4
207,0,2,0,0,4
208,0,2,0,0,4
209,0,3,0,0,4
210,0,3,0,0,4
211,0,2,0,0,4
