,numberOfDirectManipulationOfModels,numberOfInDirectManipulationOfModels,npath_complexity,lack_of_cohesion_in_methods,number_of_methods,depth_of_inheritance,coupling_between_object_classes,class_complexity,number_of_attributes,number_of_implemented_interfaces,is_presenterForm,Role
0,2,14,0,33554432.0,16.0,8.0,0.0,5.0,25.0,8.0,0.0,4
1,4,26,0,1.4134776518227075e+73,2886.0,80.0,0.0,17.0,243.0,78.0,1.0,1
2,0,13,0,512.0,4.0,5.0,0.0,2.0,9.0,4.0,0.0,4
3,1,0,0,65536.0,11.0,6.0,0.0,3.0,16.0,2.0,0.0,1
4,1,3,0,8388608.0,22.0,13.0,0.0,8.0,23.0,7.0,0.0,3
5,1,1,0,128.0,0.0,7.0,0.0,4.0,7.0,1.0,0.0,3
6,1,7,0,134217728.0,4.0,8.0,0.0,4.0,27.0,6.0,0.0,4
7,0,3,0,8796093022208.0,13.0,7.0,0.0,4.0,43.0,8.0,0.0,4
8,1,1,0,4096.0,0.0,9.0,0.0,5.0,12.0,1.0,0.0,3
9,1,1,0,65536.0,0.0,9.0,0.0,8.0,16.0,3.0,0.0,4
10,0,63,0,274877906944.0,0.0,19.0,0.0,3.0,38.0,15.0,0.0,4
11,2,121,0,4.523128485832664e+74,369.0,42.0,0.0,20.0,248.0,29.0,0.0,4
12,1,150,1,7.378697629483821e+19,366.0,33.0,0.0,6.0,66.0,10.0,1.0,4
13,0,0,0,1024.0,15.0,6.0,0.0,5.0,10.0,20.0,0.0,4
14,0,88,0,256.0,3.0,3.0,0.0,3.0,8.0,1.0,0.0,4
15,0,46,0,6.277101735386681e+57,374.0,29.0,0.0,21.0,192.0,16.0,0.0,4
16,3,296,1,5.575186299632656e+42,78.0,13.0,0.0,24.0,142.0,1.0,1.0,4
17,5,111,0,3.790327373781028e+227,18095.0,195.0,0.0,23.0,756.0,129.0,0.0,1
18,0,220,0,8796093022208.0,116.0,17.0,0.0,2.0,43.0,13.0,0.0,4
19,3,10,1,2.9514790517935283e+20,30.0,13.0,0.0,17.0,68.0,25.0,1.0,2
20,2,21,1,536870912.0,5.0,7.0,0.0,12.0,29.0,10.0,1.0,2
21,1,6,1,274877906944.0,10.0,9.0,0.0,13.0,38.0,11.0,1.0,2
22,1,86,1,3.777893186295716e+22,30.0,13.0,0.0,21.0,75.0,19.0,4.0,4
23,0,0,1,8589934592.0,148.0,20.0,0.0,6.0,33.0,23.0,2.0,4
24,0,0,1,67108864.0,31.0,10.0,0.0,8.0,26.0,4.0,2.0,2
25,1,9,1,524288.0,7.0,6.0,0.0,10.0,19.0,5.0,1.0,2
26,3,15,1,2.8823037615171174e+17,25.0,11.0,0.0,13.0,58.0,21.0,1.0,2
27,1,35,1,65536.0,3.0,6.0,0.0,10.0,16.0,4.0,1.0,2
28,0,5,1,274877906944.0,0.0,8.0,0.0,11.0,38.0,8.0,3.0,2
29,0,19,1,1.9342813113834067e+25,0.0,10.0,0.0,19.0,84.0,21.0,2.0,4
30,0,6,1,9.903520314283042e+27,29.0,15.0,0.0,11.0,93.0,25.0,2.0,2
31,1,3,1,8796093022208.0,11.0,11.0,0.0,5.0,43.0,8.0,3.0,2
32,4,4,1,5.764607523034235e+17,6.0,9.0,0.0,13.0,59.0,24.0,1.0,2
33,3,19,1,9007199254740992.0,33.0,11.0,0.0,15.0,53.0,20.0,1.0,2
34,1,3,1,1125899906842624.0,125.0,18.0,0.0,10.0,50.0,6.0,2.0,2
35,1,1,0,131072.0,0.0,4.0,0.0,4.0,17.0,7.0,0.0,1
36,1,1,0,1024.0,0.0,2.0,0.0,3.0,10.0,3.0,0.0,4
37,1,0,0,32768.0,10.0,8.0,0.0,7.0,15.0,5.0,0.0,1
38,2,25,0,4194304.0,38.0,13.0,0.0,6.0,22.0,4.0,0.0,2
39,2,3,0,131072.0,30.0,12.0,0.0,5.0,17.0,3.0,0.0,2
40,2,5,0,9007199254740992.0,62.0,17.0,0.0,7.0,53.0,13.0,0.0,1
41,0,7,0,131072.0,15.0,6.0,0.0,1.0,17.0,2.0,0.0,4
42,1,1,0,2.596148429267414e+33,277.0,27.0,1.0,8.0,111.0,14.0,0.0,4
43,1,2,0,7.555786372591432e+22,0.0,15.0,0.0,6.0,76.0,11.0,0.0,4
44,1,0,0,1024.0,0.0,5.0,0.0,1.0,10.0,2.0,0.0,4
45,1,0,0,1024.0,0.0,5.0,0.0,1.0,10.0,2.0,0.0,4
46,2,3,0,65536.0,0.0,5.0,0.0,4.0,16.0,2.0,0.0,4
47,1,5,0,4096.0,0.0,6.0,0.0,1.0,12.0,2.0,0.0,4
48,1,0,0,131072.0,0.0,6.0,0.0,2.0,17.0,3.0,0.0,4
49,1,1,0,16384.0,0.0,5.0,0.0,2.0,14.0,2.0,0.0,4
50,1,0,0,2048.0,0.0,6.0,0.0,2.0,11.0,2.0,0.0,4
51,1,0,0,1024.0,0.0,5.0,0.0,1.0,10.0,2.0,0.0,4
52,1,0,0,2048.0,0.0,6.0,0.0,1.0,11.0,2.0,0.0,4
